designation,split,y,w,aov_F,amp_snr,max_phase_gap,n_cycles_observed,n_points,loo_worst_chi2,power_ratio,fap,n_visits,n_sectors,baseline_hr,n_outliers_rejected,frac_points_stacked,phase_angle_range_deg,median_n_stack,pk_over_med,pk_prom,pk_snr
(66862) 1999 VL37,dev,1,1.0,28.552751230548647,3.219587415419746,0.0097622024210237,168.87646964591147,1218.0,2.449491889572786,1.0,9.632470992336457e-60,4,2,756.2992874122574,28,0.4245585874799358,11.2751831936574,1.0,198.06540739582724,11.160415294314106,191.62667098487657
(364111) 2006 AY15,dev,0,1.0,8.523100953083095,3.0467921341575415,0.1188316662736678,140.21980525191722,30.0,2.186120115695774,1.0,0.0162697635447458,7,3,1739.945401277917,0,1.0,13.663097899566662,38.0,9.292983545114335,1.6087849106998808,8.210276839261699
(11581) Philipdejager,dev,1,1.0,44.667210806158586,1.5079200168877964,0.0034368457308339,217.52209353525603,2904.0,3.376803463543417,1.0,1.3445906256373376e-119,10,3,9461.722308067954,4,0.029917469050894,16.076164251180042,1.0,361.8970192430996,27.057935181565924,339.4372542839159
(41302) 1999 XO129,dev,1,1.0,34.33007277273317,1.8690604050238604,0.0043260377944442,43.479777513224015,1743.0,2.987945678890697,1.0,1.1496385957936093e-85,8,2,1196.5747522831662,4,0.274756725815684,14.51422315542255,1.0,229.9735329731976,28.72962685715836,224.3387075450483
(77266) 2001 FX51,dev,0,1.0,5.9850402067163015,2.3266906476242695,0.0214856038236906,14.036165432189048,542.0,9.50266716262214,1.0,4.4882645286134166e-10,9,3,1575.670355627895,29,1.0,15.337953811346114,2.0,61.48893895578532,2.265299181333061,57.036903603122234
(4380) Geyer,dev,1,1.0,211.32089466393137,9.304346556905514,0.0080875266818745,75.51485968757417,645.0,,1.0,4.774626721646103e-254,2,1,583.7186516050715,1,0.0,3.74699354193085,1.0,349.2492905209605,8.649124612866116,281.2315846546952
(24744) 1992 OD5,dev,0,1.0,3.4563580710939266,2.0053856378593906,0.0416952979102233,58.33062934765178,170.0,3.606476684865535,1.0,0.3124801157541624,9,3,1542.8640542696812,5,1.0,10.371553106612303,7.0,14.638995429322724,2.225035387311745,13.238865041859658
(96842) 1999 RH208,dev,0,1.0,1.3261643303962318,0.842805350302668,0.0184684383584398,140.68063064714457,266.0,2.9722362353757985,1.0,0.8942168901548931,6,1,610.6440604805248,0,1.0,1.2817796298002833,6.0,9.105108202869282,1.480670485998957,7.931629732553514
(738939) 2017 DL59,dev,0,1.0,6.477610388668928,2.09108345031667,0.1134909819150912,42.576432805330214,34.0,0.9964353474885448,1.0,0.0156448534334021,9,3,1839.4060840841264,0,1.0,15.309319352948322,57.0,11.000339033598625,1.8378271124206096,9.794243540720249
(51014) 2000 GS105,dev,0,1.0,2.7405458386942008,1.1399888718122109,0.0303594238110219,8.403481514506945,353.0,2.0837625010670524,1.0,0.0179210816037498,5,2,1211.0606767816937,15,1.0,13.227950087740712,3.0,31.097833628390955,3.019318168899745,28.107521983796616
(127980) 2003 HC41,dev,0,1.0,1.6650611419612136,1.2106842022303637,0.0347783732188448,39.21785719241013,156.0,1.5341767398810533,1.0,0.1969094572970746,8,3,1687.849283392599,3,0.9622641509433962,22.106327949545847,10.0,12.424720903127778,2.008850448066628,10.817012231937731
(40348) 1999 NO10,dev,0,1.0,17.77801494831718,5.894252499310795,0.1052059992210671,7.967353713191256,106.0,,1.0,3.572857599120587e-18,2,2,1009.8255291025852,0,0.9150943396226416,8.656329614425132,2.0,13.611122498191444,2.574559060207739,15.88455112874683
(247616) 2002 TF300,dev,1,1.0,17.107538284141324,1.276738629819108,0.0039280652453189,19.94614275119625,1403.0,1.455062251695218,1.0,3.470900489962499e-33,14,2,1126.4672969783423,6,0.6415897799858056,19.265499022063395,2.0,118.30589485498398,13.407356030703683,111.81635210323472
(104596) 2000 GL91,dev,1,1.0,25.186802688224827,2.067239000700261,0.0039507044050792,79.32373236696219,1034.0,1.619313143333749,1.0,7.095720163564427e-75,4,1,589.7444634211133,0,0.0415860735009671,2.5599456040212676,1.0,178.45515485511874,8.647557101352133,169.03963259023257
(75332) 1999 XN53,dev,0,1.0,1.3052915982927076,1.6785633613465487,0.0755563023238277,158.31198585024538,79.0,1.7892478615891765,1.0,0.7226737472144382,10,2,1025.5127502795076,3,1.0,1.1497113151016514,25.0,9.640878470583258,1.4524706249714006,8.384443881044852
(97289) 1999 XR165,dev,0,1.0,4.399107237106949,7.247702709040762,0.272978942668854,3.3983251529457816,193.0,19029.39529741934,1.0,0.0059477858320324,3,1,169.8326630180818,0,0.0673575129533678,0.6844466899499668,1.0,9.892613860960903,1.242767188894234,7.554139790783134
(129771) 1999 HQ1,dev,0,1.0,6.630415485924721,10.14984425140725,0.0292621679644822,39.868347949491245,196.0,127.41013771846715,1.0,1.036838370769516e-26,8,2,1200.058032966277,0,0.7295918367346939,12.919152646782331,12.0,34.21760478306241,1.0504362281879511,24.813346995553218
(275567) 1999 TB25,dev,1,1.0,14.017458803081109,1.1805721771755295,0.0021114805483303,60.68765456585337,1706.0,4.347455959089054,1.0,4.189194688692444e-33,10,2,1216.299760294729,16,0.3426248548199768,21.344504395263755,1.0,101.81047390607492,10.367701006899145,98.31323834732164
(73821) 1995 WY15,dev,1,1.0,6.911516232002095,1.7592613595115174,0.0117822772100792,257.7468967654186,486.0,5.0057405905061305,1.0,5.680984391128475e-16,8,2,1203.6464035532554,6,1.0,16.65410006751475,3.0,66.40122024842225,8.313821333150257,65.77851439446542
(137185) 1999 JT70,dev,0,1.0,32.35375777085152,13.94588343740928,0.2152941992644628,0.7847058007355372,119.0,,1.0,0.0431633656480536,2,1,188.32939217652893,2,1.0,3.2624299649316306,6.0,23.992500632152403,2.1732306055128148,20.887082712012685
(109925) 2001 SP31,dev,0,1.0,7.151766973421755,14.187034080440553,0.2764345976411396,0.7235654023588604,130.0,,1.0,3.904675141597699e-06,1,1,94.7491256991634,3,0.9924812030075189,1.6535999100699348,2.0,27.791690555216892,1.6062307558296645,23.12420641785759
(136242) 2003 XZ,dev,0,1.0,7.830700877910201,3.561120264399739,0.1391613075513346,1766.1220905325831,30.0,2.029400853398428,1.0,0.4132330710382778,9,3,3120.586469941365,0,1.0,20.744189394824676,30.0,7.376588055384713,1.3598921430324231,6.4341659143325165
