Number,Name,published_rot_per_hr,U,U_clean,Albedo,period_updated,period_source,period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted,bin,period_hr_naive,justified,ratio
44576,1999 GJ10,0.48,-,,0.057,2.2255402330616443,TESS_replaces_wrong_LCDB,2.2255402330616443,,1.3182710761058796,(44576) 1999 GJ10,1.9233028665052687,179.0,0.0904441981563946,False,1.0,0.8783719103960306,1.0459316268334462,1.012514168935899,0.9452343221009454,True,False,False,False,"(0.0, 3.0]",1.112770116530822,False,4.636542152211759
63656,2001 QC114,6.8032,2,2.0,0.2,1.9207706155281417,TESS_replaces_wrong_LCDB,1.9207706155281417,,0.4353331915780393,(63656) 2001 QC114,1.9600241356750632,195.0,0.081421231529982,False,1.0,0.8778781492096878,0.9900906934308782,0.9988929627350972,0.9389125131014878,True,False,False,False,"(0.0, 3.0]",0.9603853077640708,False,0.28233340421098035
20279,Harel,5.38,2,2.0,0.2,126.65832624712044,TESS_replaces_wrong_LCDB,126.65832624712044,,10.77121991144242,(20279) Harel,2.33218890307768,353.0,0.0096755597865356,False,3.0,0.8747441409353439,0.990956460909949,0.997180086628677,0.8908251644737643,True,False,False,False,"(0.0, 3.0]",126.65832624712044,False,23.54243982288484
50190,2000 AK193,7.45742,2,2.0,0.057,191.1865929630498,TESS_replaces_wrong_LCDB,191.1865929630498,,11.818548034243063,(50190) 2000 AK193,2.7228582548493403,343.0,0.0184075557678216,False,2.0,0.8324120060261873,0.9890967376156378,0.993551358927784,0.8882424026400267,True,False,False,False,"(0.0, 3.0]",191.1865929630498,False,25.637096068486127
26818,1987 QM,2.84241,2,2.0,0.057,194.35134386015923,TESS_replaces_wrong_LCDB,194.35134386015923,,33.18777443439884,(26818) 1987 QM,2.8616219554698628,1517.0,0.005432044868327,False,2.0,0.9495268488697935,1.0037696103850664,1.0012041346317484,0.9650753782060236,True,False,False,False,"(0.0, 3.0]",97.17567193007962,False,68.37554886879768
12616,Lochner,10.48,3-,3.0,0.1,53.54664821045881,TESS_replaces_wrong_LCDB,53.54664821045881,,1.5547064985905923,(12616) Lochner,2.3409667045225717,234.0,0.0232944008192021,False,1.0,0.9023611286798524,1.016793248526562,0.9684339681813374,0.9217710567528544,True,False,False,False,"(0.0, 3.0]",26.77332410522941,False,5.109412997181185
127212,2002 HB14,14.3656,2,2.0,0.057,164.67026350614435,TESS_replaces_wrong_LCDB,164.67026350614435,,4.731409182566142,(127212) 2002 HB14,2.265128374768645,101.0,0.0030523153452574,False,1.0,0.8832044276222029,0.9195054325802812,0.9460291467396448,0.8961969554322394,True,False,False,False,"(0.0, 3.0]",164.67026350614435,False,11.462818365132284
305968,2009 HF69,4.91,2,2.0,0.18,126.03869475255716,TESS_replaces_wrong_LCDB,126.03869475255716,,11.834897632643296,(305968) 2009 HF69,1.6903559136891837,254.0,0.0067118863323392,False,1.0,0.9226127481713264,0.9918460646153796,0.9978058291430092,0.9461154104890216,True,False,False,False,"(0.0, 3.0]",63.019347376278574,False,25.66979526528659
91228,1999 BG13,40.0087,2,2.0,0.3,2.513022149565632,TESS_replaces_wrong_LCDB,2.513022149565632,,0.8743762156948047,(91228) 1999 BG13,2.3269278188186786,499.0,0.3598266350708671,False,1.0,0.9470524283602136,1.0212589627007838,1.0019184242335055,0.9692392283685786,True,False,False,False,"(0.0, 3.0]",1.256511074782816,False,0.06281189215259762
103537,2000 BO17,9.31,2,2.0,0.057,2.4059353890997826,TESS_replaces_wrong_LCDB,2.4059353890997826,,0.483150292352356,(103537) 2000 BO17,1.5846802112658411,209.0,0.2092627921182714,False,1.0,0.9380178136342344,0.9628574184291228,0.9534970383257928,0.9398613951581142,True,False,False,False,"(0.0, 3.0]",1.2029676945498913,False,0.25842485382382197
