Number,Name,Period,U,U_clean,Albedo,period_updated,period_source,tess_period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted
44142,1998 HU96,10.792,3,3.0,0.2,10.792,LCDB_native,,,,,,,,,,,,,,,,,False
44144,1998 HG98,3.469,2-,2.0,0.21,3.469,LCDB_native,,,,,,,,,,,,,,,,,False
44147,1998 HB103,43.916,2-,2.0,0.35,43.916,LCDB_native_TESS_disagrees,240.0,,1.7324892977502508,(44147) 1998 HB103,6.266148926179057,189.0,0.0312859158188684,False,0.0,0.7438780650085987,0.9973628328738756,0.986286293712964,0.8406285192613985,True,False,False,False
44171,1998 KR8,16.8194,2,2.0,0.2,16.8194,LCDB_native,,,,,,,,,,,,,,,,,False
44173,1998 KH13,5.03,-,,0.2,5.03,LCDB_native_rescale_below_cut,1.965594825850971,2.0,0.2184513614906676,(44173) 1998 KH13,3.016364408809215,253.0,0.923380392133988,True,0.0,,,,,,,,False
44185,1998 KH54,3.34695,2,2.0,0.2,3.34695,LCDB_native,,,,,,,,,,,,,,,,,False
44217,Whittle,9.7,2,2.0,0.25,9.7,LCDB_native,,,,,,,,,,,,,,,,,False
44237,1998 QC33,525.255,2,2.0,0.1,525.255,LCDB_native_TESS_disagrees,3.379623852253661,,0.9871314928853464,(44237) 1998 QC33,1.3621477569231288,84.0,0.0300295518840698,False,0.0,0.915284498602647,0.6508522129566997,0.9626644505814964,0.8347802473633755,False,True,False,False
44249,1998 QH42,12.70795,2,2.0,0.25,12.70795,LCDB_native,,,,,,,,,,,,,,,,,False
44262,1998 QR51,76.9658,2,2.0,0.22,76.9658,LCDB_native_rescale_below_cut,76.29675941494978,1.0,0.0086926996802505,(44262) 1998 QR51,114.4663730691494,1722.0,0.4964165934318702,True,2.0,,,,,,,,False
44263,Nansouty,3.54484,2,2.0,0.2,3.5451844248595608,TESS_precision_LCDB_harmonic,3.5451844248595608,1.0,9.71623146772682e-05,(44263) Nansouty,461.8948040807832,3703.0,0.978761337990867,True,120.0,,,,,,,,False
44266,1998 QV55,5.3754,3-,3.0,0.2,5.3754,LCDB_native,,,,,,,,,,,,,,,,,False
44283,1998 QP78,4.587,3-,3.0,0.25,4.587,LCDB_native,,,,,,,,,,,,,,,,,False
44286,1998 QK83,119.462,2,2.0,0.057,119.462,LCDB_native_rescale_below_cut,121.63618814434,1.0,0.0181998304426511,(44286) 1998 QK83,47.72843529602138,2340.0,0.4711526800030026,True,2.0,,,,,,,,False
