designation,n_points,n_points_before_rejection,n_outliers_rejected,n_visits,n_sectors,magnitude_H,period_hr,period_hr_naive,ls_power,naive_power,power_ratio,pk_over_med,pk_prom,pk_snr,max_phase_gap,fap,baseline_hr,n_cycles_observed,aov_F,amp_snr,loo_worst_chi2,n_phase_coverings,reliability_score,is_reliable,double_peaked,diameter_km_real,albedo_real,spec_type,published_rot_per_hr,min_snr,median_n_stack,frac_points_stacked,phase_angle_range_deg,wrote_clean_lc,period_quality,cell,has,believed
(93015) 2000 RY91,30,32,2,6,2,16.31,39.10004232251626,39.10004232251626,0.2001311039310881,0.3243457497027758,1.0,7.855093392076722,1.693621674057241,6.669153259143787,0.1108285474763121,0.6196014317943167,9655.298253152405,246.9383069591277,1.3531359211464078,5.339871018318329,8.991020555752494,0.0,0.0038455784067692,False,False,,,,,5.0,26.0,1.0,16.271583294755665,False,0.0,n30_a0.0,False,False
(510730) 2012 VT97,74,79,5,8,3,17.05,8.752411496715236,8.752411496715236,0.3027946721705204,0.1785127865773082,1.0,3.403485720222099,1.2851716121708303,2.778624442525481,0.1379999738302906,0.3748305124386589,1686.920815006073,192.73783181231497,1.0712481163027698,4.051091622214477,29.48983481777023,0.0,0.0074638411149917,False,False,,,,,5.0,23.0,0.7721518987341772,21.97457676746476,False,0.04,n30_a0.0,False,False
(24810) 1994 UE8,61,64,3,9,3,15.22,2.8451200385610664,1.4225600192805332,0.1150366716111256,0.2013423512994161,1.0,9.809828688081572,1.6695704726365677,8.802964681802301,0.0964696631515905,0.3452821563525467,1833.4240359407268,644.4100815050285,1.2445698228488904,2.284277896446924,5.076413367610999,0.0,0.0060453539859566,False,True,5.257,0.077,,,5.0,16.0,1.0,4.371321899173399,False,0.04,n30_a0.0,False,False
(257682) 1999 VC150,74,78,4,8,2,15.68,7.926292424898964,3.963146212449482,0.1300974946487727,0.1524043660624268,1.0,9.96395514663171,1.6269849455822196,8.977870419559052,0.0549073047896119,0.6331006202575166,1181.8363400728558,149.10329782438234,1.4812447119603955,1.2582954411680904,1.0080433186560362,0.0,0.0099495092449165,False,True,,,,,5.0,35.0,1.0,10.96281442151095,False,0.05,n30_a0.0,False,False
(698196) 2017 UN106,62,63,1,8,2,17.67,8.50192577179152,4.25096288589576,0.0295338914320338,0.1513725294817845,1.0,6.486652436562313,1.497992834373673,5.983608400715457,0.0787426749892189,0.8923367407878797,1043.896084776905,122.78348609446115,1.439437094951758,2.0090059375411657,5.590870725117768,0.0,0.0160831113348208,False,True,,,,,5.0,26.0,1.0,20.55358933867631,False,0.05,n30_a0.0,False,False
(239136) 2006 JR28,95,100,5,7,2,16.35,2.515223081529146,1.257611540764573,0.0064175448908279,0.0943925224021804,1.0,12.042765413490374,1.7555610203452392,10.573943131209774,0.0716464451724541,0.9845858634715204,850.7768507088767,338.251050953159,1.2723927082683688,1.8677880620592349,1.3512140359537126,0.0,0.1079798115157444,False,True,,,,,5.0,15.0,1.0,13.032752490382569,False,0.1162790697674418,n30_a0.0,False,False
(237026) 2008 SY42,90,93,3,8,3,16.61,5.186191526013459,2.5930957630067293,0.0498736261147192,0.150056767689174,1.0,11.15683572475474,1.923501989198293,10.135845351170124,0.0543270725434331,0.3138511124458485,1612.7739765013685,310.97462722150595,1.406174663035698,1.9711214869178613,1.7618029546419764,0.0,0.0201787041751186,False,True,,,,,5.0,23.0,1.0,11.885817915888044,False,0.05,n30_a0.0,False,False
(412990) 1998 HM31,40,40,0,12,3,17.52,67.6197832051767,33.80989160258835,0.0584269368139538,0.3281211836238323,1.0,8.547026101095847,1.538705313478621,7.460753272266616,0.1142776482245517,0.2763529604843667,11704.3337393775,173.09037658200393,2.917412312064315,2.6713566227756127,4.48609629403268,0.0,0.0011495440949147,False,True,,,,,5.0,91.0,1.0,14.664349175885564,False,0.0,n30_a1.5,False,False
(239303) 2007 PB43,71,71,0,1,1,15.86,7.973348226798109,3.9866741133990544,0.2163777131967202,0.2078625904379006,1.0,13.128766946848945,1.1296264331680357,11.296617551951256,0.0693929998019635,0.1817311402492066,78.12503517750883,9.798272062787085,1.796036646202457,1.927857202849274,,1.0,0.0427997777357008,False,True,,,,,5.0,4.0,1.0,0.748616482364826,False,0.0909090909090909,n30_a1.5,False,False
(234258) 2000 UU62,42,42,0,7,1,16.18,38.697433331263795,19.348716665631898,0.1042127995587831,0.2744229897455632,1.0,8.282105856519317,1.4422928491993947,7.377727114157205,0.073715879335614,0.4394938029255894,540.2984266084386,13.962125652709105,2.5752519621758494,1.9473074002564708,1.5660343549293303,0.0,0.0010184218574973,False,True,,,,,5.0,38.0,1.0,1.006404680226229,False,0.0,n30_a1.5,False,False
(244863) 2003 UO208,47,47,0,8,3,16.48,20.400365569252372,20.400365569252372,0.2012113687953818,0.3078905542332636,1.0,10.739122588885618,1.7331558518664816,9.673269646244004,0.0842201944307031,0.1192046189196237,1681.72395957954,82.43597174132265,2.8754453957363513,3.6403401019188695,2.337156490464385,0.0,0.002502454994462,False,False,,,,,5.0,38.0,1.0,15.071663424973936,False,0.0,n30_a1.5,False,False
(331534) 2000 SC254,73,77,4,4,2,16.98,198.55542037652117,99.27771018826058,0.0836185561373736,0.1891675666891192,1.0,11.575660729872364,1.7569092332270042,9.79269953123704,0.1259633143701899,0.2541294440216061,723.5380699656671,3.6440106676192463,1.7027270249388555,1.9837634444324483,2.116684777129973,0.0,0.0050142945991199,False,True,,,,,5.0,7.0,1.0,10.728994045364832,False,0.04,n30_a1.5,False,False
