key,q0,q1,q2,q3,sx,sy,sz,aspect
100006_1987_DA7,-0.07335717765997385,0.07454799722004049,0.7088676257682299,0.6975442708057724,-0.13165389732613852,0.6175119271570167,0.775465196599864,90.9225838218499
10016_Yugan,-0.41439664652150937,0.5727317947608841,0.5730224848101853,0.41460697355889325,-0.27187960014027973,-0.05169430328820069,0.9609418203174993,108.2252148293139
100605_1997_SR1,-0.06502393923354977,0.06682715703664203,0.713587935754691,0.6943329722505698,0.14108800259151172,-0.05338413300405158,0.9885566801494708,91.56707576853404
1009_Sirene,-0.03625256649805669,0.02417541313648873,0.5542850104888116,0.8311855556789964,0.6323384111839231,0.19167499482729916,0.7506056421979165,67.39552961304521
101308_1998_SX133,0.09964781986361315,-0.08552832112466353,0.6456598422370022,0.7522490188790643,0.12663979858273164,-0.0158387343322344,0.9918223106533136,81.27938044171604
101551_1999_AH1,0.04365082166184292,-0.04796883282523848,0.7380543917461788,0.6716169381945398,0.001253785618582831,0.03405550162001269,0.9994191567260615,95.39667785944278
10172_Humphreys,-0.0851295701414268,0.0924898719540847,0.7299405410275689,0.6718522057996335,-0.14814422052892118,0.294295669012626,0.9441627768156766,94.7457991075026
101968_1999_RC45,0.03910090080196728,-0.03888735239693195,0.7040948671270121,0.7079613771000695,0.09892782292276872,0.1365090289360396,0.985686852337344,89.68622475183298
102190_1999_SR3,0.15668806404994548,-0.14099511391938657,0.653872711783518,0.726649644065149,-0.10041769523163907,0.029112193990039614,0.9945193646407554,83.9646689038451
1023_Thomana,0.08794816934665461,-0.11725782610580676,0.7913440800357179,0.5935404524696998,-0.12559669189090716,0.03857781519705103,0.9913310361129034,106.2572027655089
102592_1999_VE1,0.07720017900055863,-0.08643013821715184,0.7407822314075685,0.6616733704788712,-0.0524404321527934,0.06320722096427245,0.9966217177513251,96.45696838274405
102883_1999_WA20,-0.021526711502079243,0.017308909448812,0.6263864556823296,0.7790231129326831,-0.027344159978966567,0.055503121106753206,0.9980840147314523,77.60319762876212
10305_Grignard,0.24806889654594957,-0.259345220707836,0.6745014494844684,0.6451741421553022,0.12699410580306564,0.012396396130110817,0.9918260061393154,92.54616271911776
10328_1991_GC1,0.19586388175363673,-0.1921952978810073,0.6735043735086492,0.6863600849128323,-0.056887206298460224,-0.06915931619500379,0.995982346602085,88.91672135470829
10352_Kawamura,-0.12940740499112538,0.1442054688399933,0.7301581955232593,0.6552308873979603,-0.026338097741122557,0.2039866281628172,0.9786193131847254,96.19153147929946
103905_2000_DA58,0.5277655245669148,-0.6798812522713937,-0.4021873318242588,-0.312202472777802,-0.025822366047405065,-0.04253533066753049,0.998761208225829,104.35838574749125
104335_2000_FF11,0.005518115483173652,-0.005976715704630738,0.7347088461651815,0.6783337973575605,-0.04121396124441544,0.03650549005178511,0.9984832290001785,94.56934580100823
10460_Correa_Otto,-0.03691710038950422,0.04928085174469384,0.7988205965297789,0.5984097090705975,-0.3483590837980033,-0.021243048057220354,0.9371204200339752,106.32502503487252
104978_2000_JZ65,-0.15062629947184178,0.11535204148775588,0.5969634574311701,0.7795128317890925,-0.014953497138788407,0.12951969322088466,0.9914640901168776,74.89094584447214
105158_2000_OL,-0.02039207721833682,0.021691417933530667,0.7282687564950929,0.6846446259833239,-0.0148064522438116,-0.04528071777392901,0.9988645681822085,93.53692563214064
10542_Ruckers,0.0472024086398844,-0.05018436305647658,0.726686008948147,0.6835063326131096,-0.468357260063474,-0.013528753337329169,0.883435594584559,93.50766401513815
105701_2000_SS67,-0.047609957029252976,0.053700766508564646,0.7463375894281232,0.6616870274341817,0.00035582229807315513,-0.027771461671689826,0.9996142352463325,96.88097218309318
105996_2000_SZ280,-0.11571707043907532,0.1396888678761866,0.7573143731029687,0.6273527875861594,-0.14062121682608714,0.3288792955738207,0.9338437140770495,100.723876610763
106153_2000_TM57,-0.02898923788916534,0.02287732978060439,0.6190730696669728,0.7844646494787552,0.12133337462977778,0.22085171502894202,0.967730712631218,76.55862436620666
106420_2000_VC38,-0.09998055654597307,0.12246939175281782,0.7649017017395603,0.624444171301468,-0.1548169374233846,0.25971585904589634,0.9531943078128908,101.54553956048497
106683_2000_WW154,0.5914224760082538,-0.6551409612566726,0.34895907074749316,0.3150195909764905,0.009568847668854241,0.07618264501284056,0.9970479636171661,95.85229050344212
10688_Haghighipour,0.16720105942081123,-0.17484741201632528,0.7012644328016212,0.6705970351315105,-0.05954341389033585,-0.07043794918360936,0.995737453939085,92.56122048969554
107116_2001_AB39,0.0009577842352788721,-0.001032683273674546,0.7331947876337418,0.680017220077056,-0.05391375818691329,-0.003186893002394997,0.9985405101402518,94.30991718966906
1073_Gellivara,-0.03826426353512683,0.04762248748577489,0.7780833584593484,0.6251833587919648,-0.24564693767915047,0.02544044806845569,0.9690254721166681,102.43683796179945
10771_Ouro_Preto,-0.03790065310354907,0.036434744243275585,0.6920693432864929,0.7199139351264525,0.12795634973605266,0.052209795327628136,0.9904046192511787,87.74052446581858
108182_2001_HY13,-0.1240176521803061,0.12529504279199716,0.6995889266095049,0.6924565747863163,0.037627064624601914,0.17019006762304634,0.9846926144184279,90.58712173008222
108460_2001_KP53,0.6540042916427535,-0.5139202295476475,0.3429931742072065,0.4364860440172384,0.0019114862225108609,0.0688639642622729,0.9976242281773762,76.32092207900669
108670_2001_OS2,-0.4088002945931491,0.4164712240352851,0.5795221770746407,0.5688480332828575,-0.03383239371678537,0.17191779175586275,0.9845301630794155,91.06510212725138
10916_Okina_Ouna,-0.07268884821967725,0.10367446606309948,0.8122085700128902,0.5694604246377832,-0.14532618138947562,0.10243027652445291,0.9840672433598616,109.92941949119115
109396_2001_QV177,0.28683609330839915,-0.20388126561870537,0.5422924115377616,0.7629393327741397,-0.010954295937317449,-0.06927279136620665,0.9975376102066786,70.80994401202435
10960_Gran_Sasso,-0.06793524291222271,0.06740988147320266,0.7011236149779201,0.7065878481622222,0.1132596808326248,0.43013346145475295,0.8956324302048495,89.55519872423812
11004_Stenmark,0.320876600410844,-0.29222704165946134,0.606610610401273,0.6660819249764507,0.029831816669363798,-0.038787567618129466,0.9988020761454566,84.64917357129121
11037_Distler,0.01093616317007527,-0.009858224929101468,0.6694802458839987,0.742683927460037,0.09143290820380426,0.04936500563989499,0.9945869089805918,84.06512185660561
11069_Bellqvist,0.07793176859700308,-0.0903542593914004,0.7518336054514355,0.6484666351995837,-0.16163215920208857,0.17188766153897694,0.9717662666106149,98.44357327221053
11104_Airion,-0.018253088709267184,0.023184299962770688,0.7853690895736157,0.6183241109079589,-0.21470837084243533,0.1429959850091118,0.9661534369661278,103.5730103775965
11138_Hotakadake,-0.07174163728440698,0.0795995956661754,0.7385434505023503,0.6656354960258779,-0.13339573371910168,0.18773963378169808,0.9731183936875597,95.94449912254143
11162_1998_BG8,-0.09375493299306092,0.10707633798871283,0.7446982054263392,0.652050038890562,-0.21315632681891417,0.3227248706311301,0.9221784199455051,97.58989191848049
11186_1998_HC120,-0.0975845215026613,0.10039946493153265,0.7100247247251041,0.690117452962609,-0.1997872505661563,0.03224107628591034,0.9793087192051043,91.62915712779818
112052_2002_JG10,-0.2756858135623144,0.2122526457968511,0.5719327113353063,0.7428587485231405,0.2549024382190972,0.08614966284407347,0.9631214786213689,75.1859059875927
112445_2002_OS5,-0.14855973326853647,0.1731070331385505,0.7388537980687023,0.6340812454320056,-0.02053946544640628,0.14939722421858043,0.9885639077747876,98.72788918304094
112691_2002_PN100,0.07590854651687469,-0.0829067440256302,0.7328752188259969,0.6710128746838702,-0.044784676512874655,-0.05789957497924168,0.9973173877792669,95.04621386674532
113122_2002_RP81,-0.008734399392923906,0.008161008217101196,0.6826673766601393,0.730631481019049,0.04984773586679473,0.05001528234766438,0.9975037216775874,86.11251875171486
113435_2002_SX39,-0.10004778338274603,0.12179496100522486,0.763061338289868,0.6268124300946901,-0.1205951617782246,0.251662509248776,0.9602722470186743,101.19759860650137
11383_1998_SD128,-0.03812158346821639,0.0409846730806171,0.7310717261382579,0.6800008328580038,-0.03408501564326323,0.31421463338920846,0.9487398884165691,94.1455982440351
11429_Demodokus,0.027943274758966494,-0.02851627897929842,0.7136768942978782,0.6993363180718237,-0.010626784859962893,0.006851755006687018,0.9999200592531727,91.16294211224925
11477_1984_SY1,0.05566358419132275,-0.039520704588928986,0.5775670858387103,0.8134838293780338,0.28321839755057426,0.21128379567594524,0.9354926493423935,70.74890120655914
114941_2003_QB53,-0.029529528227476065,0.028310291504587762,0.6914682574686676,0.721247657376322,0.16463575613190282,0.05612976051448596,0.9847560701957939,87.58482047151956
115095_2003_SB17,-0.02531503335001688,0.02599617785072237,0.7159585388563928,0.6971991956838879,-0.007486671646733348,0.04085211918014369,0.999137154802155,91.52108718683066
115276_2003_SY183,-0.054910168525805055,0.06295038989286979,0.7509589436808374,0.6550441105075019,-0.061857933464678605,0.08988729970192945,0.9940291089398615,97.80512389753972
115449_Robson,0.000821864671940086,-0.0008352171132242265,0.7127808807056273,0.7013858018603921,-0.002292314115167081,0.06446080450651104,0.9979176068084832,90.92333641192941
115749_2003_UC197,-0.006613552548436294,0.006881319266934094,0.7209625146779111,0.6929083350610948,-0.04956157877511088,-0.0292395681744389,0.9983429759167389,92.27343988631777
11609_1995_XT,0.038832933016694104,-0.043918317329431564,0.7478595028781687,0.6612634487638727,0.005997204600350692,0.012965941448636456,0.9998979537429467,97.03324942781035
116376_2003_YF113,0.08392233705992877,-0.10671772089071685,0.7787802696196726,0.6124293110567135,-0.033518309848761335,-0.06186158083219556,0.9975217630316764,103.63729664934193
1167_Dubiago,0.016365979767998286,-0.013302921559686823,0.6306111937650253,0.7758122899790002,0.15380574503972558,0.20686084706610489,0.9662051452687821,78.21117616902828
11712_Kemcook,0.5494085815043283,-0.8171129763838898,-0.1448725738740406,-0.09740909471693826,-0.2872056175146888,-0.06170994202237473,0.9558790803881009,112.1679835082358
11734_1998_KM55,0.6722989110565919,-0.5775390179450793,-0.30176857436577215,-0.35128134659899524,0.12111368866742145,-0.11819790413002122,0.9855763440122948,81.3285165484078
117532_2005_CA60,-0.12760486457355028,0.12363367980064462,0.684771662773241,0.7067669217067876,0.010819624492933722,-0.0021587303330544635,0.9999391359523744,88.1888672262651
11797_Warell,-0.25712221595898077,0.20527537012402766,0.589175764940314,0.737985166848076,0.20164993750661803,-0.08299993565091057,0.9759345845831686,77.20473666621075
118417_1999_TW12,0.022292032427764407,-0.028129324854346095,0.7832291228770886,0.6206963407743474,-0.15498339235286546,0.09764985662890202,0.9830791695459489,103.20749566521131
118657_2000_JA57,-0.1115521572162707,0.08510522174578225,0.6005528946436481,0.7871781489517686,0.21599354647989558,-0.0022169250702341603,0.9763922742024694,74.68137134199193
118978_2000_WW196,-0.21026960354690943,0.18150310019807783,0.6277132026179044,0.7271997343934372,0.10707113605832397,0.08943070727140709,0.9902211472293023,81.60101405791546
11931_1993_DD2,-0.0905826251747786,0.09910999331143361,0.731464394024028,0.6685296085569544,-0.1968789585097664,0.0790470655689418,0.977236019148419,95.14783857763946
119699_2001_XV155,0.7459791494679817,-0.5561097625533851,-0.21899518685974137,-0.29376546543818116,0.1369952930935635,-0.05741339708492288,0.9889064624651704,73.4073111129827
11997_Fassel,-0.016950499256478412,0.024120358379537556,0.8178191908656597,0.5747196359429846,-0.15829994816086151,0.0171344850921622,0.9872423896049517,109.80500091232446
12034_1997_CR,0.10167363734593608,-0.11162435602922224,0.7308148969333113,0.6656666290496035,-0.06810905507156895,-0.033254967976563965,0.997123494719754,95.34202037046443
120662_1996_VK9,0.19031405908000895,-0.2832138076608314,0.7801956173482955,0.5242759738317755,-0.03322661875024524,-0.029514377830343497,0.9990119585408943,112.19936492818204
120925_1998_SC107,-0.10155105854998737,0.07882718147916369,0.6080915883869477,0.7833889698613755,0.06131206360220298,0.0044579739143673636,0.9981086901362086,75.63951719935862
12118_Mirotsin,-0.07883907908277518,0.08451370325773126,0.7263291429997115,0.67756018891339,-0.11878551924601105,0.2812588666718004,0.9522517788568052,93.97913423940203
12135_Terlingen,-0.046303257395529256,0.052370848018480444,0.7473398666823619,0.6607544372152019,-0.013130453412702664,-0.060451137969368435,0.9980847915439777,97.03751310005283
12158_Tape,-0.17746283813050717,0.25098210689969375,0.7769784191233681,0.5493809782977638,-0.19756731979441644,-0.03568445197369985,0.9796396143667259,109.47375057782195
121705_1999_XY90,-0.17827435846061748,0.14445628075155123,0.6127668187035079,0.7562191890998711,0.18364544898678237,0.19561419937199626,0.9633324628966348,78.03592057358932
121884_2000_DA3,-0.0004076485179643193,0.0004227407787302398,0.7198393860256571,0.6941404133452576,0.03262120474522287,0.01702765259404383,0.99932272867583,92.08246337834615
122387_2000_QQ72,0.6645756841659173,-0.7315753476774373,-0.11258812627198943,-0.10227699892254545,0.012532661217032448,-0.03370761374713596,0.9993531553851686,95.49490005020274
122635_2000_RK81,-0.09221759725063348,0.08109404512836406,0.6553660744917443,0.7452616849183381,0.04466215930639558,0.26127609441596866,0.9642303117060924,82.65531616860925
122922_2000_SN174,-0.0394231296976628,0.05440909605391862,0.8079464222681682,0.585412714121844,-0.1929068499725496,0.08066565360205308,0.9778956997362356,108.14817601769472
123207_2000_UC28,-0.0646299807380248,0.060072603949298184,0.6781548932773886,0.7296027608010314,0.10700090950814692,-0.01006477271298769,0.9942079791043046,85.81400339455246
12342_Kudohmichiko,-0.12551636914743988,0.10764361072605544,0.6420328268674022,0.7486336509739283,0.20069900664406137,0.39087345224414793,0.8982971964015188,81.23318711770108
12363_Marinmarais,0.0461535239686484,-0.042602347572609674,0.6769330693691394,0.7333597424191308,0.05371551176920075,0.017332117858824492,0.998405850085976,85.41756625421048
12389_1994_WU,-0.1607263214807952,0.13024448245991527,0.6159662912222806,0.7601243006573791,0.109725715516789,0.10797882145594331,0.9880793700261705,78.03911906848347
