designation,period_doubled_hr,p,published_rot_per_hr
(611) Valeria,13.96942231957372,0.1223159564508202,6.977
(386) Siegena,19.543315684835136,0.1412768811825646,9.763
(1041) Asta,15.94793878925959,0.6889917012568378,7.978
(171) Ophelia,13.336471650435728,0.8549609343762875,6.66535
(337) Devosa,9.30533404110583,0.9134908781158432,4.653
(25) Phocaea,19.859521334006423,0.991281980016444,9.9341
